symptomid	symptom_norm	symptom_ori	count	cui	cui_name	cui_source	metamap_score	cui_def	gpt3_def
128	unresponsivetostimuli	Unresponsive to stimuli	4768	C0857494	Unresponsive to stimuli	UMLS_API			a person who does not react to external stimuli, such as noise or light.
129	vaccinationcomplication	Vaccination complication	4753						A complication that can arise after a vaccination, such as a rash, fever, or muscle ache.
130	ageusia	Ageusia	4713	C2364111	Ageusia	UMLS_API		Complete or severe loss of the subjective sense of taste, frequently accompanied by OLFACTION DISORDERS.	A lack or impairment of the sense of taste.
131	contusion	Contusion	4705						:  a bruise, a contusion
132	coldsweat	Cold sweat	4665	C0232431	Cold sweat	UMLS_API			A feeling of intense anxiety or fear, accompanied by profuse sweating.
133	swollentongue	Swollen tongue	4590	C0236068	swollen tongue	METAMAP_STRING_MATCH			A swollen tongue is an enlargement of the tongue due to an accumulation of fluid.
134	dysgeusia	Dysgeusia	4513	C0013378	Dysgeusia	UMLS_API		A condition characterized by alterations of the sense of taste which may range from mild to severe, including gross distortions of taste quality.	A condition that causes a distorted or unusual sense of taste
135	pharyngealswelling	Pharyngeal swelling	4504	C1704205	Pharyngeal swelling	UMLS_API			Pharyngeal swelling is an inflammation of the pharynx, the throat.
136	vaccinationsitepruritus	Vaccination site pruritus	4449	C2609083	Vaccination site pruritus	UMLS_API			Vaccination site pruritus is a condition that results in itching or skin irritation at the site of a recent vaccination.
137	underdose	Underdose	4434						A drug overdose is the ingestion of a drug in excess of the amount that is therapeutically effective.
138	productpreparationissue	Product preparation issue	4390	C4727925	Product preparation issue	UMLS_API			A product preparation issue is a situation that arises during the preparation of a product that negatively affects the quality, safety, or efficacy of the product.
139	balancedisorder	Balance disorder	4324						a condition in which a person’s sense of balance and equilibrium is impaired.  A person with balance disorder may feel unsteady, dizzy, or lightheaded. They may also experience difficulty walking or standing. Some people with balance disorder may feel like they are about to fall or actually fall.
140	visualimpairment	Visual impairment	4308	C3665347	Visual Impairment	UMLS_API		Limitation in visual functions.	A condition in which a person has difficulty seeing. This can be caused by problems with the eye itself, such as a cataract, or by problems with the way the brain interprets what the eye sees, such as with amblyopia.
141	bloodtestnormal	Blood test normal	4296	C0919709	Blood test normal	UMLS_API			"a blood test result that is considered to be within the normal range.  A normal blood test result is generally considered to be within the range of values that are considered to be normal for a particular test. However, it is important to note that there is no one ""correct"" range for normal blood test values, as different labs may use different ranges depending on the equipment and procedures they use. Furthermore, the normal range for blood test values may vary depending on a person's age, sex, and other factors."
142	heavymenstrualbleeding	Heavy menstrual bleeding	4284	C0025323	Menorrhagia	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	6.91	Excessive uterine bleeding during MENSTRUATION.	Heavy menstrual bleeding is considered to be when a woman bleeds through at least one tampon or pad every hour for several consecutive hours.
143	echocardiogram	Echocardiogram	4259	C0013516	Echocardiography	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	6.91	Ultrasonic recording of the size, motion, and composition of the heart and surrounding tissues.	an imaging test that uses sound waves to create a picture of the heart.
144	exposureduringpregnancy	Exposure during pregnancy	4228						:  Exposure is when something enters the body, such as a drug, virus, or chemical. When a woman is pregnant, her baby is exposed to everything she is exposed to.
145	vaccinationfailure	Vaccination failure	4195	C0521819	Vaccination failure	UMLS_API			When a vaccine does not produce immunity in a person who has been vaccinated.
146	hypotension	Hypotension	4193	C0020649	Hypotension	UMLS_API		Abnormally low BLOOD PRESSURE that can result in inadequate blood flow to the brain and other vital organs.	a condition where the blood pressure is lower than normal. The blood pressure is the pressure of the blood against the walls of the arteries as it flows through them.
147	x-ray	X-ray	4134	C0043309	Roentgen Rays	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.99	Penetrating electromagnetic radiation emitted when the inner orbital electrons of an atom are excited and release radiant energy.	an electromagnetic radiation with a wavelength shorter than visible light, used in medicine to produce images of the body.
148	inflammation	Inflammation	4085	C0021368	Inflammation	UMLS_API		A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions.	the response of body tissues to injury or infection, characterized by redness, swelling, pain, and heat.  Inflammation is a response by the body to injury or infection, which results in redness, swelling, pain, and heat.
149	earpain	Ear pain	3955						pain or discomfort in the ear.  Ear pain can be caused by a number of things, including infection, injury, or wax buildup. It can also be a symptom of other health conditions, such as allergies, autoimmune diseases, or ear infections.
150	ultrasoundscan	Ultrasound scan	3927						A medical procedure in which high-frequency sound waves are directed at a particular area of the body, allowing a doctor to see inside the body.
151	nasopharyngitis	Nasopharyngitis	3893	C0027441	Nasopharyngitis	UMLS_API		Inflammation of the NASOPHARYNX, usually including its mucosa, related lymphoid structure, and glands.	:  inflammation of the nasopharynx, a part of the upper respiratory tract that lies just behind the nose
152	hotflush	Hot flush	3883						A hot flush is a sudden feeling of warmth, accompanied by a burning sensation in the face, that often spreads to the chest and neck.
153	thrombosis	Thrombosis	3852	C0040053	Thrombosis	UMLS_API		Formation and development of a thrombus or blood clot in the blood vessel.	the process of formation of a blood clot inside a blood vessel, obstructing the flow of blood through the vessel.
154	jointswelling	Joint swelling	3791	C0152031	Joint swelling	UMLS_API			The definition of joint swelling is an abnormal accumulation of fluid in and around a joint. Joint swelling can cause pain and difficulty moving the joint.
155	bloodpressuremeasurement	Blood pressure measurement	3783	C0005823	Blood Pressure	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	4.14	PRESSURE of the BLOOD on the ARTERIES and other BLOOD VESSELS.	the pressure exerted by circulating blood on the walls of blood vessels. The measurement is usually expressed in terms of millimetres of mercury (mmHg).
156	vaccinationsitewarmth	Vaccination site warmth	3753	C2721708	Vaccination site warmth	UMLS_API			subjective and may vary from person to person.
157	anosmia	Anosmia	3705	C0003126	Anosmia	UMLS_API		Complete or severe loss of the subjective sense of smell.	:::  anosmia is a condition that results in a loss of the sense of smell.
158	respiratorytractcongestion	Respiratory tract congestion	3637	C0948349	Respiratory tract congestion	UMLS_API			The medical term for a blocked or congested nose is rhinitis. This is an inflammation of the nasal passages that can be caused by a variety of things, such as a cold, allergies, or environmental irritants.
159	urineanalysis	Urine analysis	3635	C0042014	Urinalysis	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.99	Examination of urine by chemical, physical, or microscopic means.	The analysis of urine to test for the presence of drugs, toxins, or other abnormalities.
160	rashpapular	Rash papular	3632						an itchy skin condition that is characterized by small, pink bumps on the skin.
161	wrongproductadministered	Wrong product administered	3596	C4728063	Wrong product administered	UMLS_API			A product that is not the one that was intended to be administered.
162	presyncope	Presyncope	3554	C0700200	Presyncope	UMLS_API			a transient loss of consciousness caused by insufficient blood flow to the brain.  Symptoms of presyncope include lightheadedness, feeling faint, and dizziness.
163	injectionsitemass	Injection site mass	3519	C0151775	Injection site mass	UMLS_API			the size of the tumor at the site of the injection.
164	injectedlimbmobilitydecreased	Injected limb mobility decreased	3483	C1112441	Injected limb mobility decreased	UMLS_API			A decrease in the amount of mobility that an injected limb has, usually as a result of the injection site becoming inflamed.
165	chestx-raynormal	Chest X-ray normal	3426						A chest X-ray is considered normal if the lungs are well aerated and there is no evidence of infiltrates, consolidation, effusion, or masses.
166	bell'spalsy	Bell's palsy	3412						a sudden onset of facial paralysis, typically due to a viral infection.  Bell's palsy is a sudden onset of facial paralysis, typically due to a viral infection.
167	eyepain	Eye pain	3371	C0151827	Eye pain	UMLS_API		A dull or sharp painful sensation associated with the outer or inner structures of the eyeball, having different causes.	Intense pain in and around the eye, which may be caused by infection, inflammation, or a number of other conditions.
